Row Labels,Average of Infection_Severity
11_12,0.44966443
1,0.389380531
2,0.569444444
3,0.166666667
11,0.4
12,0.473684211
12_13,0.39254386
1,0.46875
2,0.627906977
3,0.619047619
11,0.267326733
12,0.343589744
13_14,0.672774869
1,0.676056338
2,0.523809524
3,0.75
11,0.717948718
12,0.665
14_15,0.679938744
1,0.636363636
2,0.739130435
3,0.805555556
11,0.649122807
12,0.700598802
15_16,0.498201439
1,0.651515152
2,0.482758621
3,0.868421053
11,0.517241379
12,0.40647482
16_17,0.610526316
1,0.835164835
2,0.625
3,0.8
11,0.408839779
12,0.6875
17_18,0.687817259
1,0.805555556
2,0.825
3,0.961538462
11,0.574257426
12,0.755555556
Grand Total,0.570621469
